epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9281,1.30402,10.2266,0.91451,0,0.0101,1e-05,0,1.29156,4.3836,0.81247,0.000249588,0.000249588,0.000249588
2,35.261,1.24724,8.68403,0.85174,0.00078,0.09489,0.02226,0.01385,1.13476,3.99853,0.81039,0.000500912,0.000500912,0.000500912
3,45.4032,1.27648,8.06617,0.87342,0.0033,0.52967,0.08727,0.0652,1.01346,3.39437,0.81776,0.000747162,0.000747162,0.000747162
4,55.7083,1.07621,6.40424,0.86577,0.44536,0.27149,0.14641,0.10853,0.97248,2.27154,0.81061,0.000746161,0.000746161,0.000746161
5,65.8947,1.15769,6.35056,0.86369,0.3034,0.31119,0.21811,0.16351,0.93074,2.27246,0.81471,0.000738548,0.000738548,0.000738548
6,76.1149,1.09196,5.72285,0.8648,0.29153,0.36287,0.22603,0.16727,0.94143,2.02195,0.8159,0.000730935,0.000730935,0.000730935
7,86.473,1.00375,4.97697,0.84409,0.39488,0.40958,0.22429,0.16728,0.91495,1.93237,0.8133,0.000723321,0.000723321,0.000723321
8,96.8165,0.98594,4.5564,0.84108,0.44483,0.43798,0.30212,0.23005,0.87847,1.84694,0.81146,0.000715708,0.000715708,0.000715708
9,107.146,0.99357,4.45788,0.81992,0.40886,0.46195,0.2757,0.21516,0.86843,2.00018,0.80387,0.000708095,0.000708095,0.000708095
10,117.424,1.04675,4.44836,0.82709,0.24637,0.35831,0.27098,0.2117,0.82902,2.09643,0.80113,0.000700482,0.000700482,0.000700482
11,127.842,0.96324,3.78706,0.83419,0.43368,0.43044,0.32139,0.23298,0.86159,1.73272,0.80913,0.000692869,0.000692869,0.000692869
12,138.147,0.91921,3.16573,0.81776,0.45196,0.39671,0.31229,0.23876,0.8232,1.75486,0.79897,0.000685256,0.000685256,0.000685256
13,148.569,0.91142,2.92424,0.84284,0.47178,0.32448,0.28204,0.20173,1.0128,2.16364,0.81706,0.000677643,0.000677643,0.000677643
14,159.012,1.05165,3.11751,0.84475,0.40614,0.37297,0.25836,0.16861,1.06105,1.96291,0.82064,0.00067003,0.00067003,0.00067003
15,169.485,0.98041,2.80047,0.8311,0.53644,0.31534,0.35897,0.26969,0.85115,1.62791,0.80186,0.000662417,0.000662417,0.000662417
16,179.963,0.87535,2.55418,0.82524,0.4533,0.38919,0.38053,0.28886,0.84453,1.67622,0.80116,0.000654804,0.000654804,0.000654804
17,190.479,0.85928,2.47471,0.80901,0.32979,0.61187,0.36481,0.28926,0.71397,1.6361,0.79362,0.00064719,0.00064719,0.00064719
18,200.862,0.8709,2.44382,0.82153,0.36982,0.45901,0.36082,0.28804,0.71418,1.5852,0.79026,0.000639577,0.000639577,0.000639577
19,211.281,0.85719,2.14864,0.82646,0.28885,0.5261,0.38218,0.29335,0.78544,1.64364,0.79592,0.000631964,0.000631964,0.000631964
20,221.792,0.83297,2.10116,0.81206,0.30325,0.5401,0.39603,0.30975,0.75485,1.63341,0.7918,0.000624351,0.000624351,0.000624351
21,232.288,0.82346,2.04073,0.81391,0.47645,0.4908,0.39733,0.30112,0.74044,1.70286,0.79205,0.000616738,0.000616738,0.000616738
22,242.841,0.84121,2.14826,0.81651,0.37284,0.49557,0.42123,0.30717,0.77767,1.4445,0.79569,0.000609125,0.000609125,0.000609125
23,253.421,0.82051,1.93469,0.8283,0.4529,0.44887,0.42986,0.33949,0.75849,1.41997,0.7918,0.000601512,0.000601512,0.000601512
24,264.019,0.81795,1.80676,0.82344,0.42766,0.5336,0.4114,0.32902,0.73633,1.43813,0.79088,0.000593899,0.000593899,0.000593899
25,274.654,0.80855,1.61884,0.81564,0.45781,0.50646,0.40378,0.32459,0.68616,1.5813,0.78885,0.000586286,0.000586286,0.000586286
26,285.176,0.82386,1.59243,0.82317,0.46553,0.45179,0.42633,0.34052,0.70203,1.50475,0.78959,0.000578672,0.000578672,0.000578672
