epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4922,1.32234,6.84606,0.95837,0,0,0,0,1.12409,5.19637,0.82967,6.91316e-05,6.91316e-05,6.91316e-05
2,30.1609,1.21727,6.22117,0.86492,0.00833,0.005,0.00515,0.00385,1.06077,5.00372,0.80964,0.000138744,0.000138744,0.000138744
3,38.905,1.29242,5.87341,0.868,0.02473,0.17376,0.05263,0.04193,1.07577,4.38716,0.8206,0.000206951,0.000206951,0.000206951
4,47.7157,1.18656,5.42732,0.86444,0.56622,0.04776,0.05085,0.03776,1.10898,3.60751,0.8275,0.000206674,0.000206674,0.000206674
5,56.5988,1.20261,4.98617,0.85597,0.49221,0.08438,0.0731,0.0545,1.02748,3.12701,0.81966,0.000204565,0.000204565,0.000204565
6,65.5216,1.17395,4.65419,0.8565,0.59445,0.11758,0.09677,0.07271,1.00129,2.83572,0.81779,0.000202457,0.000202457,0.000202457
7,74.4942,1.11503,4.2607,0.84385,0.53845,0.13802,0.10849,0.08254,0.93566,2.61559,0.81438,0.000200348,0.000200348,0.000200348
8,83.5014,1.0756,3.93351,0.84766,0.64831,0.11376,0.12201,0.09298,0.89008,2.45588,0.81627,0.000198239,0.000198239,0.000198239
9,92.5413,1.04591,3.78141,0.84324,0.54198,0.16863,0.1383,0.10634,0.8665,2.34219,0.81348,0.00019613,0.00019613,0.00019613
10,101.566,1.04347,3.71229,0.83771,0.56718,0.15536,0.15091,0.11772,0.90013,2.24964,0.81744,0.000194022,0.000194022,0.000194022
11,110.684,1.04286,3.61533,0.83097,0.60737,0.18685,0.15721,0.12122,0.88203,2.20126,0.8116,0.000191913,0.000191913,0.000191913
12,119.677,0.99359,3.37518,0.83369,0.60753,0.19373,0.18029,0.13887,0.85699,2.12164,0.81026,0.000189804,0.000189804,0.000189804
13,128.694,0.95553,3.30607,0.83021,0.57827,0.19425,0.18055,0.13916,0.8576,2.09052,0.8121,0.000187696,0.000187696,0.000187696
14,137.809,0.97448,3.11187,0.83756,0.46642,0.22662,0.20795,0.16115,0.84079,1.99049,0.81104,0.000185587,0.000185587,0.000185587
15,146.837,0.95698,3.06927,0.83089,0.47312,0.2362,0.21004,0.16298,0.8487,1.99771,0.80968,0.000183478,0.000183478,0.000183478
16,155.845,0.93256,3.01338,0.82903,0.40569,0.25892,0.21129,0.16613,0.8442,1.99373,0.808,0.000181369,0.000181369,0.000181369
17,164.882,0.92327,2.81533,0.82809,0.5593,0.22414,0.23945,0.1902,0.82435,1.94213,0.80925,0.000179261,0.000179261,0.000179261
18,173.893,0.93012,2.87684,0.82603,0.62368,0.24155,0.2522,0.19821,0.83227,1.93694,0.80915,0.000177152,0.000177152,0.000177152
19,182.915,0.93975,2.71025,0.83593,0.42092,0.29768,0.23215,0.18254,0.84669,1.95001,0.81352,0.000175043,0.000175043,0.000175043
20,192.006,0.89901,2.68019,0.81705,0.60551,0.21994,0.26645,0.21471,0.7774,1.86529,0.80412,0.000172935,0.000172935,0.000172935
21,201.041,0.90674,2.58679,0.83054,0.52044,0.28694,0.23741,0.19086,0.76004,1.81635,0.80228,0.000170826,0.000170826,0.000170826
22,210.039,0.93555,2.74449,0.82335,0.43172,0.30336,0.25344,0.2002,0.79068,1.75446,0.80528,0.000168717,0.000168717,0.000168717
23,219.049,0.89109,2.49716,0.82577,0.55121,0.27274,0.29504,0.23216,0.7982,1.67719,0.80464,0.000166609,0.000166609,0.000166609
24,228.573,0.89117,2.49929,0.82052,0.56508,0.30788,0.28531,0.22854,0.80231,1.70249,0.80705,0.0001645,0.0001645,0.0001645
