epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,238.066,0.85126,2.31799,0.82018,0.69724,0.24433,0.30121,0.24417,0.7703,1.69416,0.80442,0.000162391,0.000162391,0.000162391
26,247.457,0.87517,2.32733,0.82439,0.32487,0.35443,0.28403,0.22774,0.83017,1.66302,0.80865,0.000160282,0.000160282,0.000160282
27,256.829,0.82712,2.19011,0.82156,0.45825,0.3611,0.29644,0.23934,0.79585,1.63897,0.80429,0.000158174,0.000158174,0.000158174
28,266.263,0.83965,2.18534,0.8237,0.53974,0.3054,0.30438,0.24767,0.75316,1.69286,0.79939,0.000156065,0.000156065,0.000156065
29,275.634,0.82808,2.15712,0.82088,0.44939,0.36465,0.30239,0.23977,0.76591,1.65241,0.80058,0.000153956,0.000153956,0.000153956
30,284.933,0.83977,2.19585,0.82566,0.50859,0.32809,0.3114,0.24967,0.76554,1.61947,0.80329,0.000151848,0.000151848,0.000151848
31,293.986,0.85784,2.16778,0.8301,0.54454,0.30065,0.28649,0.23072,0.73717,1.60317,0.80085,0.000149739,0.000149739,0.000149739
32,302.843,0.80112,2.10703,0.81505,0.41706,0.33625,0.26998,0.21292,0.78673,1.74001,0.80207,0.00014763,0.00014763,0.00014763
33,311.734,0.77729,1.99882,0.80986,0.31485,0.35572,0.27525,0.22158,0.77115,1.80998,0.80321,0.000145522,0.000145522,0.000145522
34,320.747,0.81271,2.01759,0.81302,0.60238,0.26873,0.31703,0.25949,0.73819,1.63171,0.80063,0.000143413,0.000143413,0.000143413
35,329.674,0.77914,1.93833,0.80904,0.53348,0.32969,0.3256,0.26444,0.7485,1.57022,0.80144,0.000141304,0.000141304,0.000141304
36,338.618,0.81174,1.89203,0.81373,0.59336,0.31857,0.34839,0.28361,0.77399,1.55975,0.80304,0.000139196,0.000139196,0.000139196
37,348.117,0.7996,1.90928,0.82622,0.44035,0.39452,0.34343,0.28065,0.73543,1.603,0.80114,0.000137087,0.000137087,0.000137087
38,357.535,0.74788,1.84781,0.81843,0.6045,0.3154,0.33259,0.27255,0.72203,1.55723,0.8001,0.000134978,0.000134978,0.000134978
39,366.91,0.75502,1.76752,0.81575,0.61279,0.27281,0.30613,0.24975,0.75159,1.6061,0.80065,0.000132869,0.000132869,0.000132869
40,376.223,0.76337,1.77435,0.80526,0.40541,0.38037,0.32041,0.25889,0.73993,1.5602,0.80051,0.000130761,0.000130761,0.000130761
41,385.238,0.79186,1.74903,0.81132,0.36628,0.38706,0.30119,0.23964,0.76071,1.57149,0.80211,0.000128652,0.000128652,0.000128652
42,394.087,0.78412,1.71533,0.81538,0.44269,0.34387,0.35347,0.28761,0.74616,1.54875,0.8004,0.000126543,0.000126543,0.000126543
43,403.092,0.76907,1.66728,0.82364,0.73762,0.26058,0.3494,0.28535,0.73638,1.47541,0.80031,0.000124435,0.000124435,0.000124435
44,411.976,0.78623,1.66927,0.81336,0.69275,0.29351,0.366,0.29852,0.7423,1.48925,0.80286,0.000122326,0.000122326,0.000122326
45,421.128,0.72161,1.61346,0.81669,0.50594,0.36051,0.35386,0.28953,0.71704,1.54183,0.79826,0.000120217,0.000120217,0.000120217
46,430.625,0.74839,1.56134,0.80614,0.46332,0.37616,0.36339,0.30206,0.72381,1.55215,0.79951,0.000118108,0.000118108,0.000118108
47,440.059,0.75788,1.52419,0.80442,0.57809,0.32927,0.36881,0.30288,0.716,1.53562,0.79878,0.000116,0.000116,0.000116
48,449.121,0.73507,1.53447,0.80342,0.43505,0.35485,0.36276,0.29804,0.71186,1.50651,0.79808,0.000113891,0.000113891,0.000113891
49,458.012,0.7638,1.54919,0.80051,0.51054,0.37332,0.3776,0.30921,0.71907,1.51464,0.79898,0.000111782,0.000111782,0.000111782
50,466.924,0.74169,1.51718,0.8112,0.39874,0.40582,0.37787,0.30774,0.71878,1.46564,0.7973,0.000109674,0.000109674,0.000109674
51,476.287,0.74929,1.4882,0.81658,0.42802,0.38053,0.37628,0.30707,0.72523,1.45379,0.79856,0.000107565,0.000107565,0.000107565
52,485.709,0.69902,1.39614,0.8054,0.61082,0.35219,0.38327,0.31403,0.74229,1.47358,0.79822,0.000105456,0.000105456,0.000105456
53,494.906,0.74128,1.46482,0.80494,0.56514,0.36036,0.38106,0.31452,0.70319,1.46131,0.79705,0.000103348,0.000103348,0.000103348
54,503.752,0.72115,1.41855,0.81738,0.49544,0.36363,0.38692,0.31857,0.71188,1.42843,0.79792,0.000101239,0.000101239,0.000101239
55,512.657,0.72597,1.39866,0.80835,0.59187,0.34316,0.36927,0.30202,0.71422,1.44056,0.79715,9.91302e-05,9.91302e-05,9.91302e-05
56,521.576,0.73872,1.38155,0.80686,0.4667,0.35392,0.37598,0.30844,0.72323,1.50138,0.79902,9.70215e-05,9.70215e-05,9.70215e-05
57,530.503,0.67576,1.289,0.80292,0.68433,0.31329,0.39402,0.32633,0.6829,1.39565,0.79292,9.49128e-05,9.49128e-05,9.49128e-05
58,539.432,0.68955,1.30327,0.81307,0.39533,0.42499,0.39219,0.31783,0.7099,1.43401,0.79443,9.28041e-05,9.28041e-05,9.28041e-05
59,548.839,0.71752,1.3116,0.80442,0.60626,0.32077,0.39091,0.32269,0.69422,1.52383,0.79368,9.06954e-05,9.06954e-05,9.06954e-05
60,558.31,0.71955,1.30783,0.80763,0.64642,0.3265,0.39528,0.32743,0.70403,1.37101,0.7956,8.85867e-05,8.85867e-05,8.85867e-05
61,567.697,0.72957,1.28383,0.80647,0.69128,0.32933,0.40787,0.33085,0.71367,1.40601,0.79569,8.6478e-05,8.6478e-05,8.6478e-05
62,577.04,0.71177,1.25916,0.80269,0.46528,0.42601,0.39271,0.32226,0.6927,1.43661,0.79401,8.43693e-05,8.43693e-05,8.43693e-05
63,586.069,0.71687,1.31178,0.81468,0.61333,0.37025,0.39666,0.32497,0.69266,1.40085,0.79494,8.22606e-05,8.22606e-05,8.22606e-05
64,594.93,0.6962,1.22777,0.80772,0.68624,0.35068,0.40788,0.33234,0.70432,1.43936,0.79672,8.01519e-05,8.01519e-05,8.01519e-05
65,603.838,0.71969,1.25715,0.81062,0.65409,0.35296,0.41059,0.33393,0.69997,1.40544,0.79506,7.80432e-05,7.80432e-05,7.80432e-05
66,612.812,0.69452,1.19472,0.81342,0.64351,0.31235,0.40393,0.33313,0.68247,1.43414,0.79355,7.59345e-05,7.59345e-05,7.59345e-05
67,621.732,0.67105,1.1603,0.80029,0.45797,0.42293,0.41831,0.34404,0.726,1.3948,0.79702,7.38258e-05,7.38258e-05,7.38258e-05
68,630.652,0.6949,1.22836,0.79882,0.53742,0.42645,0.38994,0.31645,0.70792,1.40463,0.79464,7.17171e-05,7.17171e-05,7.17171e-05
69,639.609,0.64957,1.12764,0.79736,0.49374,0.41972,0.40979,0.33559,0.68776,1.41578,0.79537,6.96084e-05,6.96084e-05,6.96084e-05
70,648.541,0.67271,1.1481,0.80461,0.55555,0.40017,0.40559,0.3303,0.69741,1.44862,0.79489,6.74997e-05,6.74997e-05,6.74997e-05
71,657.91,0.68301,1.18413,0.80422,0.60175,0.38609,0.40258,0.32779,0.69903,1.41436,0.79684,6.5391e-05,6.5391e-05,6.5391e-05
72,667.326,0.67263,1.1452,0.80539,0.56067,0.42305,0.41211,0.33961,0.68425,1.3843,0.79533,6.32823e-05,6.32823e-05,6.32823e-05
73,676.695,0.68787,1.16891,0.80358,0.61964,0.37752,0.39615,0.32119,0.68881,1.41425,0.7955,6.11736e-05,6.11736e-05,6.11736e-05
74,686.022,0.674,1.16155,0.80234,0.59571,0.38909,0.41338,0.33429,0.6994,1.41293,0.79662,5.90649e-05,5.90649e-05,5.90649e-05
75,695.076,0.68503,1.14172,0.79942,0.52497,0.43385,0.42052,0.34755,0.6804,1.43822,0.79477,5.69562e-05,5.69562e-05,5.69562e-05
76,703.954,0.68826,1.11376,0.80632,0.5633,0.39931,0.41826,0.33809,0.70906,1.42718,0.79644,5.48475e-05,5.48475e-05,5.48475e-05
77,712.844,0.66613,1.13835,0.80376,0.54514,0.41778,0.42348,0.34672,0.67649,1.39495,0.79595,5.27388e-05,5.27388e-05,5.27388e-05
78,721.785,0.66406,1.14438,0.79818,0.55772,0.41067,0.41206,0.33925,0.67401,1.38425,0.79526,5.06301e-05,5.06301e-05,5.06301e-05
79,731.262,0.67464,1.096,0.80268,0.55704,0.4117,0.41262,0.33361,0.69292,1.39493,0.79439,4.85214e-05,4.85214e-05,4.85214e-05
80,740.623,0.66642,1.08717,0.80237,0.58783,0.37568,0.4119,0.3348,0.68027,1.3978,0.79485,4.64127e-05,4.64127e-05,4.64127e-05
81,749.66,0.67754,1.09273,0.80199,0.62244,0.38359,0.41461,0.34021,0.68827,1.35435,0.79594,4.4304e-05,4.4304e-05,4.4304e-05
82,758.517,0.66518,1.07454,0.79912,0.58475,0.39463,0.41792,0.34322,0.67987,1.37062,0.79483,4.21953e-05,4.21953e-05,4.21953e-05
83,767.576,0.6489,1.04109,0.79994,0.61819,0.38695,0.41845,0.34048,0.67879,1.36446,0.79408,4.00866e-05,4.00866e-05,4.00866e-05
84,777.027,0.63838,1.05407,0.80223,0.64428,0.3617,0.41928,0.34381,0.67474,1.38903,0.79426,3.79779e-05,3.79779e-05,3.79779e-05
85,786.409,0.6156,1.01615,0.79415,0.59037,0.39676,0.41313,0.33603,0.69511,1.41558,0.79553,3.58692e-05,3.58692e-05,3.58692e-05
86,795.426,0.63451,1.04688,0.79756,0.56184,0.40323,0.41027,0.33654,0.67314,1.3859,0.79289,3.37605e-05,3.37605e-05,3.37605e-05
87,804.27,0.63131,1.06324,0.79346,0.57084,0.41413,0.41268,0.34182,0.67766,1.38979,0.79401,3.16518e-05,3.16518e-05,3.16518e-05
88,813.126,0.63265,1.03924,0.79691,0.6502,0.36106,0.4162,0.3423,0.68172,1.39296,0.79398,2.95431e-05,2.95431e-05,2.95431e-05
89,822.13,0.64251,1.04592,0.79735,0.60326,0.37136,0.40875,0.34037,0.67695,1.41457,0.79467,2.74344e-05,2.74344e-05,2.74344e-05
90,831.11,0.64905,1.03595,0.79575,0.65613,0.36557,0.41519,0.34248,0.68373,1.41442,0.7947,2.53257e-05,2.53257e-05,2.53257e-05
91,842.479,0.65388,1.31533,0.79999,0.59557,0.36392,0.40405,0.32864,0.70053,1.41903,0.79528,2.3217e-05,2.3217e-05,2.3217e-05
92,851.36,0.633,1.29664,0.79524,0.5889,0.37611,0.38844,0.31313,0.72455,1.42548,0.79479,2.11083e-05,2.11083e-05,2.11083e-05
93,860.251,0.62621,1.26383,0.79633,0.53219,0.40527,0.38998,0.31647,0.71399,1.42738,0.79309,1.89996e-05,1.89996e-05,1.89996e-05
94,869.196,0.60932,1.253,0.79303,0.5828,0.39709,0.39259,0.31566,0.70876,1.41244,0.79294,1.68909e-05,1.68909e-05,1.68909e-05
95,878.625,0.62925,1.24564,0.79367,0.56885,0.40125,0.39424,0.32156,0.69786,1.39617,0.79252,1.47822e-05,1.47822e-05,1.47822e-05
96,888.047,0.61142,1.20506,0.80881,0.59724,0.39362,0.39189,0.31854,0.70003,1.42128,0.79251,1.26735e-05,1.26735e-05,1.26735e-05
97,897.452,0.60269,1.18843,0.80198,0.52639,0.42701,0.38967,0.31598,0.70485,1.43095,0.79281,1.05648e-05,1.05648e-05,1.05648e-05
98,906.391,0.61999,1.23375,0.80554,0.55977,0.4232,0.38691,0.31352,0.7009,1.4198,0.7926,8.4561e-06,8.4561e-06,8.4561e-06
99,915.232,0.60056,1.18175,0.79402,0.57026,0.39831,0.38869,0.31624,0.70268,1.41093,0.79299,6.3474e-06,6.3474e-06,6.3474e-06
100,924.049,0.59727,1.14614,0.79126,0.56904,0.40285,0.38985,0.31935,0.69741,1.40122,0.79304,4.2387e-06,4.2387e-06,4.2387e-06
