epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,384.227,0.73063,0.50646,0.81643,0.96734,0.87483,0.94066,0.77125,0.62852,0.45068,0.78941,0.000742625,0.000742625,0.000742625
43,393.016,0.71218,0.47747,0.80167,0.97874,0.85988,0.93786,0.77576,0.6135,0.46012,0.78658,0.00073025,0.00073025,0.00073025
44,401.857,0.71095,0.48315,0.80092,0.93193,0.87684,0.93719,0.78059,0.59489,0.44537,0.78806,0.000717875,0.000717875,0.000717875
45,410.906,0.69605,0.46495,0.80807,0.89717,0.91161,0.93709,0.78596,0.5768,0.44055,0.78543,0.0007055,0.0007055,0.0007055
46,419.873,0.71236,0.47056,0.80226,0.94732,0.89708,0.94468,0.77891,0.63584,0.42956,0.79408,0.000693125,0.000693125,0.000693125
47,428.621,0.71056,0.46797,0.80933,0.9606,0.88596,0.94325,0.78144,0.61499,0.42578,0.78794,0.00068075,0.00068075,0.00068075
48,437.35,0.70662,0.46587,0.80991,0.96706,0.86373,0.93842,0.78433,0.60895,0.43028,0.78661,0.000668375,0.000668375,0.000668375
49,446.075,0.70583,0.4547,0.80358,0.96219,0.89912,0.94968,0.78687,0.63917,0.43195,0.79586,0.000656,0.000656,0.000656
50,455.103,0.69742,0.44942,0.80815,0.9715,0.90656,0.95373,0.80074,0.61371,0.41639,0.78912,0.000643625,0.000643625,0.000643625
51,464.195,0.69106,0.45177,0.80356,0.95586,0.91994,0.9519,0.7927,0.61677,0.41487,0.78687,0.00063125,0.00063125,0.00063125
52,473.126,0.70088,0.44778,0.80226,0.93051,0.90612,0.94571,0.78886,0.60927,0.42384,0.7896,0.000618875,0.000618875,0.000618875
53,481.931,0.67741,0.44591,0.79489,0.93188,0.91,0.9562,0.7923,0.60815,0.42374,0.78765,0.0006065,0.0006065,0.0006065
54,490.574,0.67638,0.43223,0.80391,0.95579,0.90851,0.95526,0.77854,0.64558,0.4181,0.79128,0.000594125,0.000594125,0.000594125
55,499.441,0.6942,0.45049,0.80135,0.95645,0.89468,0.94984,0.78157,0.61439,0.41792,0.78887,0.00058175,0.00058175,0.00058175
56,508.465,0.68997,0.444,0.80018,0.96719,0.90994,0.94759,0.78785,0.62351,0.42141,0.78805,0.000569375,0.000569375,0.000569375
57,517.56,0.6683,0.42611,0.79842,0.95742,0.91423,0.95732,0.78276,0.61273,0.42205,0.78926,0.000557,0.000557,0.000557
58,526.385,0.66941,0.43141,0.80222,0.97009,0.89383,0.95629,0.798,0.59274,0.40676,0.78353,0.000544625,0.000544625,0.000544625
59,535.056,0.66579,0.42764,0.80247,0.95325,0.87459,0.94726,0.7853,0.60442,0.41286,0.7904,0.00053225,0.00053225,0.00053225
60,543.97,0.66892,0.43688,0.80091,0.98376,0.87475,0.9397,0.78001,0.63707,0.4138,0.79255,0.000519875,0.000519875,0.000519875
61,553.372,0.66174,0.43785,0.79656,0.98233,0.87865,0.94413,0.79323,0.61667,0.40224,0.79296,0.0005075,0.0005075,0.0005075
62,562.152,0.65391,0.41157,0.80268,0.98603,0.87737,0.9512,0.79487,0.58532,0.40326,0.78671,0.000495125,0.000495125,0.000495125
63,570.847,0.66496,0.42121,0.80166,0.98304,0.87176,0.94919,0.7885,0.59356,0.40453,0.79002,0.00048275,0.00048275,0.00048275
64,579.533,0.66447,0.42336,0.80086,0.9505,0.88621,0.95427,0.79408,0.58613,0.39021,0.78594,0.000470375,0.000470375,0.000470375
65,588.239,0.6544,0.40935,0.79747,0.94846,0.90125,0.95584,0.80249,0.57252,0.38997,0.78429,0.000458,0.000458,0.000458
66,596.952,0.63386,0.40293,0.78605,0.97193,0.90885,0.95736,0.79643,0.59169,0.40847,0.78808,0.000445625,0.000445625,0.000445625
67,605.679,0.64843,0.40429,0.79857,0.93704,0.90649,0.94558,0.79851,0.58678,0.41863,0.78551,0.00043325,0.00043325,0.00043325
68,614.404,0.63901,0.40618,0.79911,0.95452,0.90794,0.96037,0.80096,0.59827,0.40534,0.78794,0.000420875,0.000420875,0.000420875
69,623.16,0.64538,0.4083,0.79965,0.9239,0.9105,0.94592,0.79391,0.58855,0.41342,0.78581,0.0004085,0.0004085,0.0004085
70,631.901,0.63853,0.40026,0.78532,0.95156,0.92555,0.95757,0.80329,0.59473,0.39361,0.78433,0.000396125,0.000396125,0.000396125
71,640.662,0.64347,0.40309,0.79695,0.94675,0.91623,0.96077,0.79939,0.57909,0.3821,0.7821,0.00038375,0.00038375,0.00038375
72,649.42,0.6021,0.37881,0.78496,0.91703,0.91065,0.95056,0.80495,0.578,0.38898,0.7822,0.000371375,0.000371375,0.000371375
73,658.236,0.60912,0.38868,0.78992,0.94358,0.90137,0.94678,0.79484,0.5928,0.39185,0.78495,0.000359,0.000359,0.000359
74,667.034,0.62559,0.39558,0.78854,0.96266,0.87834,0.94651,0.7966,0.58463,0.40156,0.78297,0.000346625,0.000346625,0.000346625
75,675.828,0.62738,0.39744,0.78769,0.95468,0.89951,0.95469,0.80781,0.5696,0.39798,0.7825,0.00033425,0.00033425,0.00033425
76,684.634,0.61703,0.3847,0.79629,0.94924,0.89468,0.94468,0.80076,0.56944,0.40113,0.7842,0.000321875,0.000321875,0.000321875
77,693.559,0.62771,0.38225,0.79699,0.95996,0.89472,0.94357,0.80224,0.56223,0.39739,0.78216,0.0003095,0.0003095,0.0003095
78,702.335,0.61676,0.38442,0.78764,0.93329,0.91512,0.9497,0.80075,0.57335,0.38888,0.7823,0.000297125,0.000297125,0.000297125
79,711.101,0.58994,0.37223,0.78586,0.91701,0.91037,0.94984,0.80315,0.56684,0.3884,0.78055,0.00028475,0.00028475,0.00028475
80,719.875,0.57838,0.36503,0.79369,0.96035,0.90667,0.95785,0.80739,0.56714,0.37772,0.78153,0.000272375,0.000272375,0.000272375
